37,戯作三昧,NDC 913,1999/1/16,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
38,戯作三昧,NDC 913,2000/4/15,2014/9/17,879,芥川 竜之介,日本の文学　29　芥川龍之介,中央公論社,佐野良二,伊藤時也
39,疑惑,NDC 913,1998/12/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
40,歯車,NDC 913,1998/4/27,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
41,母,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
42,鼻,NDC 913,1997/11/4,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,野口英司、平山誠,もりみつじゅんじ
43,手巾,NDC 913,1998/9/14,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,柳沢成雄
44,春の心臓,NDC 933,1998/11/30,2014/9/17,879,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店,もりみつじゅんじ,j.utiyama
44,春の心臓,NDC 933,1998/11/30,2014/9/17,1085,イエイツ ウィリアム・バトラー,芥川龍之介全集　第一巻,岩波書店,もりみつじゅんじ,j.utiyama
45,春,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
46,春の夜,NDC 913,1999/2/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
47,雛,NDC 913,1998/11/7,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,福地博文
48,本所両国,NDC 914,1999/8/23,2014/9/17,879,芥川 竜之介,芥川龍之介全集　第四巻,筑摩書房,j.utiyama,もりみつじゅんじ
49,奉教人の死,NDC 913,1998/6/14,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,八木正三
50,報恩記,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
51,文放古,NDC 913,1999/1/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
52,不思議な島,NDC 913,1999/1/10,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
53,冬,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
54,ひょっとこ,NDC 913,1998/11/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
55,芋粥,NDC 913,1999/5/29,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,吉田亜津美
56,犬と笛,NDC K913,1998/12/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
57,一夕話,NDC 913,1999/1/10,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
58,糸女覚え書,NDC 913,1999/1/16,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
59,邪宗門,NDC 913,1998/12/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
60,地獄変,NDC 913,1998/12/2,2014/9/17,879,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店,もりみつじゅんじ,j.utiyama
61,地獄変,NDC 913,1999/11/2,2014/9/17,879,芥川 竜之介,傀儡師,特選名著復刻全集近代文学館、日本近代文学館,j.utiyama,富田倫生
62,十円札,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
63,じゅりあの・吉助,NDC 913,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
64,影,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
65,貝殻,NDC 914 917,1999/1/27,2014/9/17,879,芥川 竜之介,芥川龍之介作品集　第四巻,昭和出版社,j.utiyama,かとうかおり
66,開化の殺人,NDC 913,1998/7/6,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
67,開化の良人,NDC 913,1998/12/23,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
68,神神の微笑,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
69,河童,NDC 913,1999/1/24,2014/9/17,879,芥川 竜之介,河童・或る阿呆の一生,旺文社文庫、旺文社,もりみつじゅんじ,かとうかおり
70,彼,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
71,彼　第二,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
